epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.4707,1.27355,2.63666,3.99227,1.37543,0.66201,0.14562,0.14849,0.10619,0.66374,0.14693,0.14898,0.10122,1.08147,2.01128,2.69959,1.25524,0.00012271,0.00012271,0.00012271
2,113.745,1.11847,1.99165,2.58158,1.22611,0.48879,0.45207,0.35133,0.25874,0.48881,0.45328,0.34973,0.23887,0.94616,1.7105,1.4431,1.14792,0.000243608,0.000243608,0.000243608
3,169.88,1.02332,1.81133,1.81447,1.15709,0.37731,0.49521,0.41568,0.30717,0.37764,0.4939,0.42134,0.29111,0.88718,1.60744,1.23021,1.09828,0.000362063,0.000362063,0.000362063
4,225.902,0.97015,1.70934,1.55716,1.12001,0.41442,0.62402,0.47026,0.35732,0.42607,0.62066,0.47794,0.33937,0.83853,1.50988,1.24585,1.07341,0.000359011,0.000359011,0.000359011
5,281.118,0.92833,1.63646,1.42293,1.09814,0.51815,0.63711,0.57269,0.43976,0.51584,0.64338,0.56947,0.41723,0.79169,1.40692,0.97689,1.03318,0.000355348,0.000355348,0.000355348
6,337.822,0.89589,1.5617,1.29648,1.07638,0.47881,0.72069,0.56675,0.44093,0.47474,0.70924,0.56543,0.41377,0.79601,1.41681,0.94882,1.0346,0.000351685,0.000351685,0.000351685
7,393.614,0.87504,1.50679,1.22355,1.06219,0.44061,0.57077,0.49394,0.38651,0.44481,0.57506,0.49455,0.36592,0.7693,1.3142,1.02489,1.02007,0.000348022,0.000348022,0.000348022
8,449.33,0.85953,1.48136,1.18269,1.05502,0.49414,0.70532,0.56142,0.43546,0.49033,0.71017,0.56474,0.41755,0.76322,1.32816,0.86534,1.02021,0.000344359,0.000344359,0.000344359
9,504.556,0.84772,1.45539,1.12661,1.05032,0.54711,0.66994,0.58994,0.47098,0.55068,0.67495,0.59698,0.4529,0.7522,1.25067,0.8581,1.00548,0.000340696,0.000340696,0.000340696
10,560.154,0.83235,1.4177,1.08827,1.04297,0.42818,0.70089,0.49266,0.39334,0.42827,0.69702,0.49593,0.37681,0.72668,1.25143,0.94793,0.99257,0.000337033,0.000337033,0.000337033
11,615.867,0.81985,1.41526,1.0705,1.03713,0.51371,0.66728,0.56522,0.45696,0.51214,0.6692,0.56774,0.4367,0.70554,1.21716,0.88687,0.98721,0.00033337,0.00033337,0.00033337
12,671.296,0.81402,1.38312,1.02173,1.03212,0.47687,0.76838,0.58859,0.47907,0.47766,0.7635,0.59736,0.45869,0.70911,1.18306,0.78528,0.97853,0.000329707,0.000329707,0.000329707
13,726.593,0.80741,1.36969,1.01036,1.02783,0.55662,0.80606,0.66407,0.53632,0.5548,0.81262,0.66905,0.5138,0.7092,1.18421,0.73458,0.97929,0.000326044,0.000326044,0.000326044
14,781.88,0.79525,1.35786,0.97132,1.02352,0.49286,0.71592,0.56347,0.45221,0.49201,0.70762,0.56386,0.43292,0.70892,1.23354,0.82645,0.98443,0.000322381,0.000322381,0.000322381
15,837.266,0.78515,1.32794,0.95584,1.01508,0.60526,0.78179,0.68359,0.55226,0.602,0.78004,0.68512,0.52714,0.69858,1.16462,0.6764,0.97418,0.000318718,0.000318718,0.000318718
16,892.671,0.77849,1.31673,0.92722,1.01116,0.59271,0.79937,0.68703,0.55117,0.58803,0.80537,0.68239,0.53285,0.6808,1.14173,0.66409,0.96794,0.000315055,0.000315055,0.000315055
17,948.191,0.76915,1.30012,0.91116,1.01258,0.53984,0.72519,0.59854,0.48501,0.54298,0.72241,0.59891,0.46554,0.68116,1.15726,0.75596,0.96479,0.000311392,0.000311392,0.000311392
18,1003.48,0.76083,1.28589,0.87978,1.00238,0.57329,0.8253,0.66761,0.55033,0.57148,0.82236,0.67168,0.52973,0.67316,1.13576,0.65851,0.96376,0.000307729,0.000307729,0.000307729
19,1058.65,0.76204,1.28739,0.8781,1.00679,0.54099,0.82982,0.66664,0.53681,0.53917,0.81903,0.6584,0.51441,0.68389,1.1251,0.66482,0.96674,0.000304066,0.000304066,0.000304066
20,1113.86,0.74921,1.26311,0.86418,1.00089,0.58097,0.82965,0.68048,0.55863,0.58444,0.82948,0.68184,0.53596,0.66208,1.10948,0.65506,0.95587,0.000300403,0.000300403,0.000300403
21,1169.16,0.74419,1.24753,0.86245,0.99705,0.5881,0.76841,0.65562,0.5364,0.55639,0.83471,0.65937,0.51443,0.65838,1.08568,0.64182,0.95096,0.00029674,0.00029674,0.00029674
22,1224.63,0.74143,1.24555,0.84516,0.99337,0.51076,0.73974,0.58945,0.4821,0.51374,0.74965,0.59219,0.46387,0.66419,1.11599,0.74632,0.95585,0.000293077,0.000293077,0.000293077
23,1279.94,0.7385,1.23053,0.83474,0.99367,0.46091,0.71055,0.52975,0.43603,0.46604,0.69562,0.54017,0.42662,0.65773,1.08328,0.84458,0.95099,0.000289414,0.000289414,0.000289414
24,1335.23,0.72749,1.2194,0.81488,0.98951,0.57971,0.81559,0.65669,0.53786,0.58235,0.81769,0.66336,0.52121,0.64943,1.06929,0.63357,0.95022,0.000285751,0.000285751,0.000285751
25,1390.65,0.72695,1.2046,0.80339,0.98928,0.53751,0.78793,0.59767,0.49468,0.53516,0.77893,0.59942,0.47675,0.65723,1.10924,0.70915,0.9523,0.000282088,0.000282088,0.000282088
26,1445.81,0.71812,1.18415,0.78508,0.98241,0.50342,0.75265,0.59267,0.49221,0.50487,0.75617,0.60042,0.47662,0.64772,1.0515,0.75098,0.94702,0.000278425,0.000278425,0.000278425
